frame	osa	sroa	vicon	draw	total
0.033	0.024	0.001	0.009	0.000	0.067
0.032	0.029	0.000	0.017	0.000	0.078
0.044	0.027	0.000	0.014	0.000	0.085
0.044	0.020	0.000	0.007	0.000	0.072
0.029	0.040	0.000	0.007	0.000	0.076
0.037	0.038	0.000	0.010	0.000	0.085
0.033	0.032	0.000	0.012	0.000	0.077
0.035	0.075	0.001	0.015	0.000	0.126
0.025	0.041	0.001	0.013	0.000	0.079
0.083	0.021	0.000	0.009	0.000	0.114
0.056	0.036	0.001	0.015	0.029	0.136
0.077	0.021	0.000	0.010	0.000	0.108
0.040	0.039	0.000	0.014	0.000	0.094
0.036	0.021	0.000	0.009	0.000	0.067
0.127	0.020	0.000	0.013	0.000	0.161
0.039	0.024	0.001	0.012	0.000	0.076
0.124	0.041	0.000	0.014	0.000	0.179
0.034	0.058	0.000	0.011	0.000	0.103
0.102	0.038	0.001	0.012	0.000	0.153
0.041	0.026	0.000	0.010	0.000	0.077
0.034	0.031	0.000	0.010	0.000	0.076
0.031	0.093	0.001	0.011	0.000	0.135
0.013	0.008	0.000	0.013	0.000	0.034
0.045	0.021	0.000	0.009	0.000	0.075
0.030	0.094	0.000	0.010	0.000	0.135
0.029	0.019	0.000	0.012	0.000	0.060
0.048	0.022	0.001	0.011	0.000	0.082
0.037	0.033	0.000	0.012	0.000	0.082
0.034	0.030	0.000	0.010	0.000	0.075
0.036	0.029	0.041	0.014	0.000	0.120
0.051	0.043	0.001	0.014	0.040	0.148
0.027	0.095	0.000	0.013	0.000	0.136
0.040	0.024	0.000	0.008	0.000	0.073
0.027	0.038	0.000	0.008	0.000	0.074
0.030	0.121	0.000	0.011	0.000	0.162
0.024	0.059	0.000	0.010	0.000	0.094
0.081	0.021	0.000	0.013	0.000	0.115
0.101	0.051	0.000	0.012	0.000	0.164
0.040	0.010	0.000	0.013	0.000	0.063
0.038	0.030	0.000	0.011	0.000	0.079
0.037	0.031	0.000	0.010	0.000	0.079
0.034	0.041	0.000	0.013	0.000	0.089
0.071	0.029	0.000	0.008	0.000	0.108
0.062	0.023	0.001	0.016	0.000	0.102
0.038	0.021	0.000	0.010	0.000	0.070
0.034	0.028	0.001	0.010	0.000	0.072
0.032	0.039	0.000	0.010	0.000	0.081
0.035	0.024	0.000	0.014	0.000	0.074
0.037	0.035	0.001	0.011	0.000	0.084
0.035	0.031	0.053	0.013	0.000	0.132
0.065	0.030	0.000	0.012	0.035	0.142
0.013	0.026	0.000	0.010	0.000	0.049
0.032	0.039	0.000	0.013	0.000	0.085
0.043	0.029	0.000	0.008	0.000	0.080
0.035	0.022	0.000	0.007	0.000	0.064
0.033	0.069	0.000	0.009	0.000	0.112
0.034	0.075	0.000	0.011	0.000	0.120
0.039	0.039	0.046	0.011	0.000	0.135
0.066	0.021	0.001	0.012	0.000	0.100
0.033	0.024	0.000	0.012	0.000	0.069
0.045	0.060	0.000	0.012	0.000	0.117
0.036	0.028	0.001	0.011	0.000	0.076
0.032	0.023	0.001	0.018	0.000	0.074
0.041	0.025	0.000	0.013	0.000	0.080
0.033	0.029	0.000	0.008	0.000	0.070
0.025	0.019	0.000	0.009	0.000	0.053
0.076	0.019	0.044	0.012	0.000	0.151
0.034	0.037	0.000	0.012	0.000	0.083
0.046	0.031	0.001	0.014	0.000	0.091
0.045	0.109	0.000	0.010	0.000	0.164
0.165	0.060	0.000	0.011	0.029	0.265
0.084	0.024	0.000	0.012	0.000	0.121
0.024	0.030	0.000	0.007	0.000	0.062
0.028	0.106	0.001	0.011	0.000	0.146
0.031	0.023	0.000	0.013	0.000	0.068
0.056	0.111	0.000	0.012	0.000	0.180
0.064	0.023	0.000	0.011	0.000	0.099
0.021	0.091	0.000	0.012	0.000	0.124
0.070	0.030	0.000	0.011	0.000	0.111
0.030	0.039	0.000	0.013	0.000	0.081
0.074	0.033	0.001	0.013	0.000	0.120
0.033	0.031	0.000	0.008	0.000	0.073
0.124	0.028	0.000	0.010	0.000	0.162
0.127	0.028	0.000	0.012	0.000	0.168
0.049	0.052	0.000	0.011	0.000	0.112
0.029	0.040	0.000	0.012	0.000	0.080
0.068	0.031	0.000	0.012	0.000	0.111
0.030	0.037	0.000	0.011	0.000	0.078
0.023	0.051	0.000	0.014	0.000	0.089
